q1,q2,q3,q4,q5,q6
1,1,1,1,1,2
1,1,2,2,1,3
3,2,2,3,1,3
3,2,3,3,2,3
3,2,3,3,2,3
3,3,3,3,2,3
3,3,3,3,3,3
3,3,3,3,3,3
3,3,3,3,3,3
3,3,3,3,3,3
4,3,3,3,3,3
4,3,4,3,3,3
4,3,4,3,3,3
4,3,4,4,3,3
4,3,4,4,3,3
4,3,4,4,3,3
4,3,4,4,4,3
4,3,4,4,4,3
4,4,4,4,4,3
4,4,4,4,4,3
4,4,4,4,4,3
4,4,4,4,4,4
5,4,4,4,4,4
5,4,4,5,4,4
5,4,4,5,4,4
5,4,4,5,4,4
5,4,4,5,4,4
5,4,5,5,5,4
5,4,5,5,5,5
5,5,5,5,5,5
